aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::all,"[[512, 30]]",1,12.2,0.00,12.23
aten::all,"[[512, 32]]",1,12.1,0.00,12.15
aten::all,"[[512, 13]]",1,12.1,0.00,12.07
aten::all,"[[512, 21]]",1,12.0,0.00,12.03
aten::all,"[[512, 27]]",1,12.0,0.00,12.03
aten::all,"[[512, 33]]",1,12.0,0.00,11.99
aten::all,"[[512, 36]]",1,11.9,0.00,11.91
aten::all,"[[512, 18]]",1,11.9,0.00,11.91
aten::all,"[[512, 25]]",1,11.9,0.00,11.87
aten::all,"[[512, 19]]",1,11.8,0.00,11.79
aten::all,"[[512, 31]]",1,11.8,0.00,11.79
aten::all,"[[512, 16]]",1,11.7,0.00,11.71
aten::all,"[[512, 51]]",1,11.7,0.00,11.71
aten::all,"[[512, 38]]",1,11.7,0.00,11.67
aten::all,"[[512, 28]]",1,11.6,0.00,11.62
aten::all,"[[512, 15]]",1,11.5,0.00,11.50
aten::all,"[[512, 9]]",1,11.1,0.00,11.11
aten::all,"[[512, 42]]",1,10.9,0.00,10.86
aten::all,"[[512, 12]]",1,10.7,0.00,10.74
aten::all,"[[512, 22]]",1,9.6,0.00,9.58
aten::all,"[[512, 23]]",1,9.5,0.00,9.54
aten::all,"[[512, 26]]",1,9.5,0.00,9.54
aten::copy_,"[[512, 89], [512, 89], []]",1,9.4,0.00,9.42
aten::copy_,"[[512, 140], [512, 140], []]",1,9.4,0.00,9.38
aten::copy_,"[[512, 66], [512, 66], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 115], [512, 115], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 128], [512, 128], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 203], [512, 203], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 79], [512, 79], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 99], [512, 99], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 132], [512, 132], []]",1,9.3,0.00,9.30
aten::copy_,"[[512, 85], [512, 85], []]",1,9.3,0.00,9.26
aten::copy_,"[[512, 59], [512, 59], []]",1,9.3,0.00,9.26
aten::copy_,"[[512, 87], [512, 87], []]",1,9.3,0.00,9.26
aten::copy_,"[[512, 88], [512, 88], []]",1,9.3,0.00,9.26
aten::all,"[[512, 24]]",1,9.3,0.00,9.26
aten::copy_,"[[512, 17], [512, 17], []]",1,9.2,0.00,9.22
aten::copy_,"[[512, 126], [512, 126], []]",1,9.2,0.00,9.22
aten::copy_,"[[512, 108], [512, 108], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 111], [512, 111], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 141], [512, 141], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 16], [512, 16], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 51], [512, 51], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 116], [512, 116], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 138], [512, 138], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 160], [512, 160], []]",1,9.2,0.00,9.18
aten::copy_,"[[512, 178], [512, 178], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 206], [512, 206], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 112], [512, 112], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 144], [512, 144], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 20], [512, 20], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 101], [512, 101], []]",1,9.1,0.00,9.14
aten::copy_,"[[512, 33], [512, 33], []]",1,9.1,0.00,9.14
